12
25,25
0,0,1,1,1,0,0,0,0,0,1,9,1,1,9,1,0,0,0,0,0,0,0,0,0,
0,0,1,9,1,0,0,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
0,0,1,1,1,1,1,2,2,10,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,
1,1,0,0,1,2,9,2,9,2,1,0,0,1,3,11,2,1,2,9,1,1,10,2,1,
9,1,0,1,2,12,3,3,1,2,1,1,0,1,10,9,2,1,10,2,2,2,3,9,1,
1,1,0,1,9,3,9,1,1,2,9,2,1,1,2,2,1,1,1,1,1,9,2,2,2,
2,2,1,2,2,3,1,1,1,10,3,10,1,0,0,0,0,0,0,0,1,2,2,2,9,
10,9,1,1,9,1,0,0,1,1,2,1,2,1,1,0,0,0,0,0,0,1,9,2,1,
2,2,1,1,1,1,0,1,1,1,0,0,1,9,1,1,2,2,1,0,0,1,1,1,0,
0,0,0,0,0,0,0,1,9,1,0,0,2,2,3,2,11,9,2,1,1,0,0,0,0,
0,0,0,1,1,1,0,1,1,1,0,0,1,9,2,9,4,3,3,10,2,0,0,0,0,
0,0,0,1,10,2,1,0,0,0,0,0,1,1,3,3,10,1,2,9,2,0,0,0,0,
1,1,0,1,3,9,2,0,0,0,0,0,0,0,1,10,2,2,2,2,1,0,0,1,1,
9,1,0,0,2,10,2,0,0,1,1,1,0,0,1,1,1,1,9,1,0,0,0,1,9,
1,1,0,0,1,1,1,1,1,2,9,1,0,0,0,0,0,1,1,2,2,2,1,1,1,
0,0,0,0,0,0,0,1,9,2,1,1,0,0,0,1,1,1,0,2,9,10,1,0,0,
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,9,1,0,3,12,5,2,1,0,
0,0,0,0,0,1,1,1,0,0,1,2,2,1,0,1,1,2,1,3,9,3,9,1,0,
0,0,0,0,0,1,9,2,1,1,1,9,10,1,0,0,0,1,9,2,2,3,2,1,0,
1,1,0,0,0,2,3,4,10,1,1,2,2,1,0,0,0,1,1,1,1,9,1,0,0,
9,1,0,0,0,1,10,9,2,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,
1,1,0,1,1,2,2,2,1,1,1,2,9,1,1,1,2,9,1,1,1,2,1,1,0,
0,0,0,1,9,2,2,2,1,1,9,2,1,1,1,9,2,1,1,1,9,2,9,1,0,
0,0,0,1,1,2,9,10,2,2,1,1,0,0,2,2,2,0,0,1,1,2,1,1,0,
0,0,0,0,0,1,2,3,10,1,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,
